name_serie,release_date,channel,runtime,end_date,genre,rating,votes
Boku Dake Ga Inai Machi: Erased,"Oct. 05, 2014",Mainichi Broadcasting System,24m,"Sep. 18, 2016",Action & Adventure,9.6,"4,510"
Eyeshield 21,"Jan. 18, 2015",Disney XD,11m,"Mar. 24, 2018",Animacion,9.6,"3,012"
Mi compañero de clase es un mono,"Feb. 15, 2007",TV Tokyo,22m,"Mar. 23, 2017",Action & Adventure,9.6,"2,331"
Karakuri Circus,"Apr. 07, 2013",Hokkaido Television BroadcastingMainichi Broadcasting SystemTVABS11Tokyo MXFukuoka Broadcasting Corporation,24m,"May. 13, 2017",Accion,9.7,"1,612"
Linterna Verde: La Serie Animada,"Dec. 02, 2013",Adult Swim,22m,"Apr. 08, 2017",Animacion,9.6,"1,591"
Inspector Ardilla,"Oct. 19, 2015",Nickelodeon,22m,"May. 12, 2018",Animacion,9.5,"1,164"
Folktales from Japan,"Jul. 03, 2014",HuluFunimation Channel,22m,"Mar. 27, 2015",Action & Adventure,9.6,"1,110"
Assassination Classroom,"Oct. 03, 2002",TV TokyoStudio Pierrot,20m,"Feb. 08, 2007",Action & Adventure,9.6,999
La Pantera Rosa e Hijos,"Dec. 17, 1989",Fox Broadcasting Company,22m,"Oct. 15, 2017",Animacion,9.5,991
Orange,"Jul. 19, 2003",Cartoon Network,22m,"Jan. 16, 2006",Action & Adventure,9.7,929
Lego Star Wars: Las aventuras de los Freemakers,"Oct. 20, 1999",Fuji Television,25m,"Feb. 11, 2018",Action & Adventure,9.5,918
Hundred,"Apr. 26, 1989",Fuji Television,26m,"Jan. 31, 1996",Action & Adventure,9.5,913
Escandalosos,"Apr. 05, 2010",Cartoon Network,11m,"Feb. 02, 2017",Animacion,9.7,908
Recreo,"Mar. 07, 1992",TV Asahi,20m,"Feb. 08, 1997",Action & Adventure,9.6,880
Hanebado!,"Jan. 07, 2011",Cartoon Network,22m,"Mar. 16, 2013",Accion,9.7,818
Free!,"Oct. 04, 2015",TV TokyoKyoto Broadcasting SystemTVQ Kyushu BroadcastingTV OsakaBS Japan,24m,"May. 30, 2016",Action & Adventure,9.6,704
Marco,"Oct. 11, 1986",TV Asahi,24m,"Apr. 01, 2012",Animacion,9.6,702
Death Note,"Aug. 22, 2014",Netflix,25m,"Sep. 08, 2017",Animacion,9.5,693
