name_serie,release_date,channel,runtime,end_date,genre,rating,votes
Satsuriku no Tenshi,"Jul. 06, 2018",AT-X,23m,"Sep. 1, 22018",Action & Adventure,9.7,25
Star vs. las fuerzas del mal,"Jan. 18, 2015",Disney XD,11m,"Mar. 24, 2018",Animacion,9.6,"3,015"
Hataraku Saibou,"Jul. 07, 2018",,23m,"Sep. 23, 2018",Animacion,8.9,67
Chuukan Kanriroku Tonegawa,"Jul. 04, 2018",Nippon TV,25m,"Sep. 26, 2018",Animacion,8,7
Final Space,"Feb. 26, 2018",TBSNetflix,22m,"Apr. 30, 2018",Animacion,9.5,180
Banana Fish,"Jul. 06, 2018",Fuji TV,23m,"Sep. 21, 2018",Action & Adventure,8.6,33
Ajin: Semi humano,"Jan. 16, 2016",Tokyo Broadcasting System Television,24m,"Dec. 23, 2016",Animacion,9.5,43
Guardianes de la Galaxia,"Sep. 05, 2015",Disney XD,22m,"Dec. 03, 2017",Action & Adventure,8.8,37
Superman: La serie animada,"Sep. 06, 1996",The WB,21m,"Feb. 12, 2000",Action & Adventure,9,62
Big Mouth,"Sep. 29, 2017",Netflix,27m,"Sep. 29, 2017",Animacion,9.2,166
Kick Buttowski: Medio doble de riesgo,"Feb. 13, 2010",Disney XD,22m,"Sep. 22, 2012",Action & Adventure,9.6,145
Zatch Bell,"Apr. 06, 2003",Fuji TV,30m,"Mar. 26, 2006",Animacion,9.5,106
She-Ra y las Princesas del Poder (2018),"Nov. 13, 2018",Netflix,24m,"Aug. 02, 2019",Animacion,8.8,37
El espectacular Hombre Araña,"Mar. 08, 2008",Disney XDThe CW,30m,"Nov. 18, 2009",Action & Adventure,9.7,380
Asobi Asobase,"Jul. 08, 2018",,23m,"Sep. 23, 2018",Animacion,9,21
Grotescología,"Sep. 29, 2006",Disney XD,24m,"Oct. 24, 2009",Animacion,7.4,13
Aaahh!!! Monstruos de Verdad,"Oct. 30, 1994",Nickelodeon,30m,"Dec. 06, 1997",Animacion,9.5,57
Monster Rancher,"Aug. 30, 1999",TBSAnimax,30m,"Oct. 07, 2001",Action & Adventure,8.7,28
Las chicas superpoderosas,"Nov. 18, 1998",Cartoon Network,30m,"Sep. 08, 2016",Action & Adventure,9.2,123
Johnny Bravo,"Jul. 14, 1997",Teletoon,7m,"Aug. 27, 2004",Animacion,9.1,77
Los Vengadores: Los héroes más poderosos del planeta,"Sep. 22, 2010",Teletoon,22m,"Nov. 11, 2012",Action & Adventure,9.7,370
Daria,"Mar. 03, 1997",MTV,30m,"Jan. 21, 2002",Animacion,9.7,622
Tom y Jerry,"Feb. 10, 1940",CBS,10m,"Jan. 01, 1967",Animacion,9.6,169
Sailor Moon Crystal,"Jul. 05, 2014",Niconico,25m,"Jun. 27, 2016",Animacion,9.5,206
Rocket Power,"Aug. 16, 1999",Nickelodeon,30m,"Jul. 30, 2004",Animacion,9.2,46
Martin Mystery,"Oct. 01, 2003",Rede Globo,30m,"Oct. 01, 2005",Action & Adventure,9.1,67
El campamento de Lazlo,"Jul. 08, 2005",Cartoon Network,30m,"Mar. 27, 2008",Animacion,9.1,54
Code Lyoko,"Sep. 03, 2003",France 3,30m,"Feb. 09, 2013",Action & Adventure,9.2,42
Chowder,"Nov. 16, 2007",Cartoon Network,15m,"May. 10, 2010",Animacion,9.3,89
Sakura Card Captor,"Jan. 18, 1995",NHK,30m,"Mar. 21, 2000",Animacion,9.6,266
Static Shock,"Sep. 23, 2000",The WB Television Network,22m,"May. 22, 2004",Action & Adventure,8.7,38
Las sombrías aventuras de Billy y Mandy,"Aug. 24, 2001",Cartoon Network,11m,"Nov. 09, 2007",Animacion,9.6,180
El increíble mundo de Gumball,"May. 03, 2011",Cartoon Network,22m,"Nov. 17, 2016",Animacion,9.5,463
Pokémon: los orígenes,"Nov. 15, 2013",TV Tokyo,25m,"Nov. 22, 2013",Action & Adventure,9,77
Yin Yang Yo!,"Oct. 02, 2006",Toon Disney,30m,"Apr. 18, 2009",Action & Adventure,8.6,43
Las nuevas aventuras de Tom y Jerry,"Sep. 23, 2006",The CW,"30,22,23m","Mar. 22, 2008",Animacion,9.3,43
Hi Hi Puffy AmiYumi,"Nov. 19, 2004",Cartoon Network,30m,"Jun. 27, 2006",Animacion,9.1,51
Las olimpiadas de la risa,"Sep. 10, 1977",American Broadcasting Company,90m,"Oct. 28, 1978",Animacion,7.3,89
